#DataPath	LabelPath
<path-to-data-file>/0001.nii.gz	<path-to-label-file>/0001.nii.gz
<path-to-data-file>/0005.nii.gz	<path-to-label-file>/0005.nii.gz
<path-to-data-file>/0006.nii.gz	<path-to-label-file>/0006.nii.gz
<path-to-data-file>/0007.nii.gz	<path-to-label-file>/0007.nii.gz
<path-to-data-file>/0009.nii.gz	<path-to-label-file>/0009.nii.gz
<path-to-data-file>/0011.nii.gz	<path-to-label-file>/0011.nii.gz
<path-to-data-file>/0014.nii.gz	<path-to-label-file>/0014.nii.gz
<path-to-data-file>/0015.nii.gz	<path-to-label-file>/0015.nii.gz
<path-to-data-file>/0016.nii.gz	<path-to-label-file>/0016.nii.gz
<path-to-data-file>/0017.nii.gz	<path-to-label-file>/0017.nii.gz
<path-to-data-file>/0019.nii.gz	<path-to-label-file>/0019.nii.gz
<path-to-data-file>/0021.nii.gz	<path-to-label-file>/0021.nii.gz
<path-to-data-file>/0024.nii.gz	<path-to-label-file>/0024.nii.gz
<path-to-data-file>/0025.nii.gz	<path-to-label-file>/0025.nii.gz
<path-to-data-file>/0027.nii.gz	<path-to-label-file>/0027.nii.gz
<path-to-data-file>/0030.nii.gz	<path-to-label-file>/0030.nii.gz
<path-to-data-file>/0033.nii.gz	<path-to-label-file>/0033.nii.gz
<path-to-data-file>/0038.nii.gz	<path-to-label-file>/0038.nii.gz
<path-to-data-file>/0042.nii.gz	<path-to-label-file>/0042.nii.gz
<path-to-data-file>/0043.nii.gz	<path-to-label-file>/0043.nii.gz
<path-to-data-file>/0044.nii.gz	<path-to-label-file>/0044.nii.gz
<path-to-data-file>/0045.nii.gz	<path-to-label-file>/0045.nii.gz
<path-to-data-file>/0047.nii.gz	<path-to-label-file>/0047.nii.gz
<path-to-data-file>/0048.nii.gz	<path-to-label-file>/0048.nii.gz
<path-to-data-file>/0049.nii.gz	<path-to-label-file>/0049.nii.gz
<path-to-data-file>/0050.nii.gz	<path-to-label-file>/0050.nii.gz
<path-to-data-file>/0052.nii.gz	<path-to-label-file>/0052.nii.gz
<path-to-data-file>/0054.nii.gz	<path-to-label-file>/0054.nii.gz
<path-to-data-file>/0058.nii.gz	<path-to-label-file>/0058.nii.gz
<path-to-data-file>/0059.nii.gz	<path-to-label-file>/0059.nii.gz
<path-to-data-file>/0060.nii.gz	<path-to-label-file>/0060.nii.gz
<path-to-data-file>/0066.nii.gz	<path-to-label-file>/0066.nii.gz
<path-to-data-file>/0067.nii.gz	<path-to-label-file>/0067.nii.gz
<path-to-data-file>/0069.nii.gz	<path-to-label-file>/0069.nii.gz
<path-to-data-file>/0071.nii.gz	<path-to-label-file>/0071.nii.gz
<path-to-data-file>/0072.nii.gz	<path-to-label-file>/0072.nii.gz
<path-to-data-file>/0075.nii.gz	<path-to-label-file>/0075.nii.gz
<path-to-data-file>/0076.nii.gz	<path-to-label-file>/0076.nii.gz
<path-to-data-file>/0077.nii.gz	<path-to-label-file>/0077.nii.gz
<path-to-data-file>/0078.nii.gz	<path-to-label-file>/0078.nii.gz
<path-to-data-file>/0079.nii.gz	<path-to-label-file>/0079.nii.gz
<path-to-data-file>/0083.nii.gz	<path-to-label-file>/0083.nii.gz
<path-to-data-file>/0086.nii.gz	<path-to-label-file>/0086.nii.gz
<path-to-data-file>/0089.nii.gz	<path-to-label-file>/0089.nii.gz
<path-to-data-file>/0094.nii.gz	<path-to-label-file>/0094.nii.gz
<path-to-data-file>/0097.nii.gz	<path-to-label-file>/0097.nii.gz
<path-to-data-file>/0102.nii.gz	<path-to-label-file>/0102.nii.gz
<path-to-data-file>/0103.nii.gz	<path-to-label-file>/0103.nii.gz
<path-to-data-file>/0104.nii.gz	<path-to-label-file>/0104.nii.gz
<path-to-data-file>/0105.nii.gz	<path-to-label-file>/0105.nii.gz
<path-to-data-file>/0110.nii.gz	<path-to-label-file>/0110.nii.gz
<path-to-data-file>/0111.nii.gz	<path-to-label-file>/0111.nii.gz
<path-to-data-file>/0113.nii.gz	<path-to-label-file>/0113.nii.gz
<path-to-data-file>/0116.nii.gz	<path-to-label-file>/0116.nii.gz
<path-to-data-file>/0118.nii.gz	<path-to-label-file>/0118.nii.gz
<path-to-data-file>/0119.nii.gz	<path-to-label-file>/0119.nii.gz
<path-to-data-file>/0124.nii.gz	<path-to-label-file>/0124.nii.gz
<path-to-data-file>/0125.nii.gz	<path-to-label-file>/0125.nii.gz
<path-to-data-file>/0127.nii.gz	<path-to-label-file>/0127.nii.gz
